accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.65,0.631578947368421,1,0.451612903225806,0.631578947368421,0.166666666666667,31,1.55,19,12,12,2,0.5,3.5,0.5,0.05,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,0.5,0.05,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.05,-0.05,0
0.65,0.631578947368421,1,0.451612903225806,0.631578947368421,0.166666666666667,31,1.55,19,12,12,2,0.5,3.5,0.5,0.1,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,0.5,0.1,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.1,-0.05,0
0.65,0.631578947368421,1,0.451612903225806,0.631578947368421,0.166666666666667,31,1.55,19,12,12,2,0.5,3.5,0.5,0.15,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,0.5,0.15,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,0.5,0.15,-0.05,0
0.65,0.631578947368421,1,0.424242424242424,0.631578947368421,0.142857142857143,33,1.65,19,14,12,2,0.5,3.5,0.5,0.2,-0.45,0
0.8,0.842105263157895,0,0.484848484848485,0.842105263157895,0,33,1.65,19,14,16,0,0.5,3.5,0.5,0.2,-0.4,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,0.5,0.2,-0.35,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,0.5,0.2,-0.3,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,0.5,0.2,-0.25,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,0.5,0.2,-0.2,0
